Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,
Data,2,monitoring,timestamp_16,"52949",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"52970",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"52985",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53000",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53015",s,heart_rate,"75",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53016",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53032",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53047",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53062",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53077",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53096",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53111",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53126",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53141",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"2513",steps,timestamp_16,"53144",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53157",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53172",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53187",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53202",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"2535",steps,timestamp_16,"53204",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53218",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53233",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53248",s,heart_rate,"70",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53263",s,heart_rate,"70",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53264",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53279",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53283",s,heart_rate,"66",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53298",s,heart_rate,"66",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53301",s,heart_rate,"63",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53316",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53332",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"2559",steps,timestamp_16,"53352",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966447208",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53353",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966447209",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53355",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53370",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53387",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53402",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53417",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53432",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53449",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53464",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53479",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53494",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53513",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53528",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53543",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53565",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53580",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53595",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53610",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"2659",steps,timestamp_16,"53624",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53626",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53641",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53656",s,heart_rate,"61",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53669",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966447525",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53674",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966447530",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53675",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53691",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53706",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53721",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53736",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53744",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53757",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53763",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53778",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53793",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53812",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53827",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53842",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53857",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"2735",steps,timestamp_16,"53864",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53874",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53889",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53904",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53919",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53937",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53952",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53967",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"53982",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53984",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53996",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966447852",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54026",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966447882",s,data16,"0",,event,"47",,event_type,"254",,comm_timeout,"0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966447882",s,data16,"1",,event,"47",,event_type,"2",,comm_timeout,"1",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54056",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966447912",s,data16,"1",,event,"47",,event_type,"254",,comm_timeout,"1",,,,,,,,,,,,,,
Data,6,event,timestamp,"966447912",s,data16,"2",,event,"47",,event_type,"2",,comm_timeout,"2",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54086",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966447942",s,data16,"2",,event,"47",,event_type,"254",,comm_timeout,"2",,,,,,,,,,,,,,
Data,6,event,timestamp,"966447942",s,data16,"3",,event,"47",,event_type,"2",,comm_timeout,"3",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54116",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966447972",s,data16,"3",,event,"47",,event_type,"254",,comm_timeout,"3",,,,,,,,,,,,,,
Data,6,event,timestamp,"966447972",s,data16,"4",,event,"47",,event_type,"2",,comm_timeout,"4",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54146",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448002",s,data16,"4",,event,"47",,event_type,"254",,comm_timeout,"4",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448002",s,data16,"5",,event,"47",,event_type,"2",,comm_timeout,"5",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54176",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448032",s,data16,"5",,event,"47",,event_type,"254",,comm_timeout,"5",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448032",s,data16,"6",,event,"47",,event_type,"2",,comm_timeout,"6",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54206",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448062",s,data16,"6",,event,"47",,event_type,"254",,comm_timeout,"6",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448062",s,data16,"7",,event,"47",,event_type,"5",,comm_timeout,"7",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448062",s,data16,"3427",,event,"47",,event_type,"250",,comm_timeout,"3427",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448062",s,data16,"522",,event,"47",,event_type,"251",,comm_timeout,"522",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54224",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"2849",steps,timestamp_16,"54464",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54483",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448339",s,data16,"0",,event,"47",,event_type,"0",,comm_timeout,"0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448339",s,data16,"0",,event,"47",,event_type,"1",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54484",s,heart_rate,"74",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54485",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448341",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54500",s,heart_rate,"74",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54515",s,heart_rate,"74",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54531",s,heart_rate,"74",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54538",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54553",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54568",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54583",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54599",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54614",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54629",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"2987",steps,timestamp_16,"54633",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448489",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54635",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448491",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54653",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54668",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54683",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54698",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54704",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54718",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54733",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"3014",steps,timestamp_16,"54737",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448593",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3067",steps,timestamp_16,"54764",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54767",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448623",s,data16,"0",,event,"47",,event_type,"254",,comm_timeout,"0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448623",s,data16,"1",,event,"47",,event_type,"2",,comm_timeout,"1",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3103",steps,timestamp_16,"54797",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448653",s,data16,"1",,event,"47",,event_type,"254",,comm_timeout,"1",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448653",s,data16,"2",,event,"47",,event_type,"2",,comm_timeout,"2",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3111",steps,timestamp_16,"54824",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54827",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448683",s,data16,"2",,event,"47",,event_type,"254",,comm_timeout,"2",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448683",s,data16,"3",,event,"47",,event_type,"2",,comm_timeout,"3",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3137",steps,timestamp_16,"54857",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448713",s,data16,"3",,event,"47",,event_type,"254",,comm_timeout,"3",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448713",s,data16,"4",,event,"47",,event_type,"2",,comm_timeout,"4",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3155",steps,timestamp_16,"54884",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54885",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54887",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448743",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54902",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54917",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54921",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54936",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"3175",steps,timestamp_16,"54944",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54953",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54968",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54983",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"54998",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55016",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55031",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
